review,ManualLabelling,date,year,clean_review,before_cleaning,after_cleaning,normalized_review,before_normalizing,after_normalizing,tokenize_review,standardlized_review,before_stopwords,after_stopwords,stopwords_removed_count,stemmed_review,before_stemming,after_stemming
"ini kenapa pas verifikasi gk bisa2 sih, ribet banget skrg mau login doang, pencet asal2an bener tp aps gambar terakhir selalu salah. Heran klo mau bikin verifikasi yg benerlah",negatif,2023-08-11,2023,ini kenapa pas verifikasi gk bisa sih ribet banget skrg mau login doang pencet asal an bener tp aps gambar terakhir selalu salah heran klo mau bikin verifikasi yg benerlah,29,30,ini kenapa pas verifikasi tidak bisa sih rumit banget sekarang mau login saja tekan asal an benar tapi aps gambar terakhir selalu salah heran kalau mau bikin verifikasi yang benerlah,30,30,"['ini', 'kenapa', 'pas', 'verifikasi', 'tidak', 'bisa', 'sih', 'rumit', 'banget', 'sekarang', 'mau', 'login', 'saja', 'tekan', 'asal', 'an', 'benar', 'tapi', 'aps', 'gambar', 'terakhir', 'selalu', 'salah', 'heran', 'kalau', 'mau', 'bikin', 'verifikasi', 'yang', 'benerlah']","['pas', 'verifikasi', 'tidak', 'sih', 'rumit', 'banget', 'login', 'tekan', 'an', 'aps', 'gambar', 'salah', 'heran', 'bikin', 'verifikasi', 'benerlah']",30,16,14,pas verifikasi tidak sih rumit banget login tekan an aps gambar salah heran bikin verifikasi benerlah,16,16
"Kenapa ya, saya engk bisa login saat menggunakan aplikasi Android padahal Android udh v 8, tapi saat saya pake web dilaptop bisa, saya jg udh instal ulang, tpi tetep engk bisa log in",negatif,2024-01-31,2024,kenapa ya saya engk bisa login saat menggunakan aplikasi android padahal android udh v tapi saat saya pake web dilaptop bisa saya jg udh instal ulang tpi tetep engk bisa log in,33,32,kenapa ya saya engk bisa login saat menggunakan aplikasi android padahal android sudah v tapi saat saya pakai web dilaptop bisa saya juga sudah memasang ulang tetapi tetap engk bisa log in,32,32,"['kenapa', 'ya', 'saya', 'engk', 'bisa', 'login', 'saat', 'menggunakan', 'aplikasi', 'android', 'padahal', 'android', 'sudah', 'v', 'tapi', 'saat', 'saya', 'pakai', 'web', 'dilaptop', 'bisa', 'saya', 'juga', 'sudah', 'memasang', 'ulang', 'tetapi', 'tetap', 'engk', 'bisa', 'log', 'in']","['ya', 'engk', 'login', 'aplikasi', 'android', 'android', 'v', 'pakai', 'web', 'dilaptop', 'memasang', 'ulang', 'engk', 'log', 'in']",32,15,17,ya engk login aplikasi android android v pakai web laptop pasang ulang engk log in,15,15
"App linkedin apa sdg ganguan yaa dr kmaren g bsa d download gagal terus,,, nyampe 91% macet disitu ga maju2,,,",negatif,2022-03-21,2022,app linkedin apa sdg ganguan yaa dr kmaren g bsa d download gagal terus nyampe macet disitu ga maju,20,19,aplikasi linkedin apa sedang ganguan ya dari kemarin tidak bisa di unduh gagal terus sampai macet disitu tidak maju,19,19,"['aplikasi', 'linkedin', 'apa', 'sedang', 'ganguan', 'ya', 'dari', 'kemarin', 'tidak', 'bisa', 'di', 'unduh', 'gagal', 'terus', 'sampai', 'macet', 'disitu', 'tidak', 'maju']","['aplikasi', 'linkedin', 'ganguan', 'ya', 'kemarin', 'tidak', 'unduh', 'gagal', 'macet', 'disitu', 'tidak', 'maju']",19,12,7,aplikasi linkedin ganguan ya kemarin tidak unduh gagal macet situ tidak maju,12,12
"Aplikasi bagus sekali, banyak manfaat nya, selain untuk mencari kerja juga bisa untuk membangun networking dan membangun diri",positif,2022-09-10,2022,aplikasi bagus sekali banyak manfaat nya selain untuk mencari kerja juga bisa untuk membangun networking dan membangun diri,18,18,aplikasi bagus sekali banyak manfaat nya selain untuk mencari kerja juga bisa untuk membangun networking dan membangun diri,18,18,"['aplikasi', 'bagus', 'sekali', 'banyak', 'manfaat', 'nya', 'selain', 'untuk', 'mencari', 'kerja', 'juga', 'bisa', 'untuk', 'membangun', 'networking', 'dan', 'membangun', 'diri']","['aplikasi', 'bagus', 'manfaat', 'nya', 'mencari', 'kerja', 'membangun', 'networking', 'membangun']",18,9,9,aplikasi bagus manfaat nya cari kerja bangun networking bangun,9,9
"Makin ksni makin gak jelas, sudah 1 bln ini mungguin hasil verifikasi data gak ada balasan lagi...entah gak tau knpa tiba² gak bisa login lagi ke akun ku.",negatif,2023-07-18,2023,makin ksni makin gak jelas sudah bln ini mungguin hasil verifikasi data gak ada balasan lagi entah gak tau knpa tiba² gak bisa login lagi ke akun ku,28,28,makin ksni makin tidak jelas sudah bulan ini mungguin hasil verifikasi data tidak ada balasan lagi entah tidak tahu kenapa tiba² tidak bisa login lagi ke akun saya,28,28,"['makin', 'ksni', 'makin', 'tidak', 'jelas', 'sudah', 'bulan', 'ini', 'mungguin', 'hasil', 'verifikasi', 'data', 'tidak', 'ada', 'balasan', 'lagi', 'entah', 'tidak', 'tahu', 'kenapa', 'tiba²', 'tidak', 'bisa', 'login', 'lagi', 'ke', 'akun', 'saya']","['ksni', 'tidak', 'mungguin', 'hasil', 'verifikasi', 'data', 'tidak', 'balasan', 'tidak', 'tiba²', 'tidak', 'login', 'akun']",28,13,15,ksni tidak mungguin hasil verifikasi data tidak balas tidak tiba tidak login akun,13,13
"Orang Pintar/Cerdas itu Banyak, Orang Baik juga Banyak, Tapi...Orang Yang BENAR tidaklah mudah didapat, Hebatlah jika Orang bisa hidupnya Bermanfaat untuk semuanya, Aamiin.",positif,2021-04-05,2021,orang pintar cerdas itu banyak orang baik juga banyak tapi orang yang benar tidaklah mudah didapat hebatlah jika orang bisa hidupnya bermanfaat untuk semuanya aamiin,23,25,orang pintar cerdas itu banyak orang baik juga banyak tapi orang yang benar tidaklah mudah didapat hebatlah jika orang bisa hidupnya bermanfaat untuk semuanya aamiin,25,25,"['orang', 'pintar', 'cerdas', 'itu', 'banyak', 'orang', 'baik', 'juga', 'banyak', 'tapi', 'orang', 'yang', 'benar', 'tidaklah', 'mudah', 'didapat', 'hebatlah', 'jika', 'orang', 'bisa', 'hidupnya', 'bermanfaat', 'untuk', 'semuanya', 'aamiin']","['orang', 'pintar', 'cerdas', 'orang', 'orang', 'tidaklah', 'mudah', 'hebatlah', 'orang', 'hidupnya', 'bermanfaat', 'aamiin']",25,12,13,orang pintar cerdas orang orang tidak mudah hebat orang hidup manfaat aamiin,12,12
"akun saya ditambahkan email yang tidak saya kenal, saya juga tidak bisa login karena tidak pernah mendapat notifikasi 6 digit di email. saat verifikasi harus mengulang terus, data saya apakah sudah dicuri ? tolong diperbaiki",negatif,2023-10-08,2023,akun saya ditambahkan email yang tidak saya kenal saya juga tidak bisa login karena tidak pernah mendapat notifikasi digit di email saat verifikasi harus mengulang terus data saya apakah sudah dicuri tolong diperbaiki,35,33,akun saya ditambahkan email yang tidak saya kenal saya juga tidak bisa login karena tidak pernah mendapat notifikasi digit di email saat verifikasi harus mengulang terus data saya apakah sudah dicuri tolong di perbaiki,33,34,"['akun', 'saya', 'ditambahkan', 'email', 'yang', 'tidak', 'saya', 'kenal', 'saya', 'juga', 'tidak', 'bisa', 'login', 'karena', 'tidak', 'pernah', 'mendapat', 'notifikasi', 'digit', 'di', 'email', 'saat', 'verifikasi', 'harus', 'mengulang', 'terus', 'data', 'saya', 'apakah', 'sudah', 'dicuri', 'tolong', 'di', 'perbaiki']","['akun', 'email', 'tidak', 'kenal', 'tidak', 'login', 'tidak', 'notifikasi', 'digit', 'email', 'verifikasi', 'mengulang', 'data', 'dicuri', 'tolong', 'perbaiki']",34,16,18,akun email tidak kenal tidak login tidak notifikasi digit email verifikasi ulang data curi tolong baik,16,16
"Aplikasi cacat, verifikasi gambar dah benar, akhir2 salah terus, dah nyoba pakek 3 hp, tetep aja salah. Perbaiki aja dulu itu verifikasi gambarnya.",negatif,2022-02-05,2022,aplikasi cacat verifikasi gambar dah benar akhir salah terus dah nyoba pakek hp tetep aja salah perbaiki aja dulu itu verifikasi gambarnya,23,22,aplikasi cacat verifikasi gambar sudah benar akhir salah terus sudah mencoba pakai handphone tetap saja salah perbaikan saja dahulu itu verifikasi gambarnya,22,22,"['aplikasi', 'cacat', 'verifikasi', 'gambar', 'sudah', 'benar', 'akhir', 'salah', 'terus', 'sudah', 'mencoba', 'pakai', 'handphone', 'tetap', 'saja', 'salah', 'perbaikan', 'saja', 'dahulu', 'itu', 'verifikasi', 'gambarnya']","['aplikasi', 'cacat', 'verifikasi', 'gambar', 'salah', 'mencoba', 'pakai', 'handphone', 'salah', 'perbaikan', 'verifikasi', 'gambarnya']",22,12,10,aplikasi cacat verifikasi gambar salah coba pakai handphone salah baik verifikasi gambar,12,12
"Sangat buruk, akun saya terkena hack. Bagaimana bisa? Seharusnya aplikasi sebesar ini bisa menangani hal-hal seperti ini, belum lagi mengganti password yang sulit. Terlalu ribet",negatif,2023-05-11,2023,sangat buruk akun saya terkena hack bagaimana bisa seharusnya aplikasi sebesar ini bisa menangani hal hal seperti ini belum lagi mengganti password yang sulit terlalu ribet,25,26,sangat buruk akun saya terkena hack bagaimana bisa seharusnya aplikasi sebesar ini bisa menangani hal hal seperti ini belum lagi mengganti password yang sulit terlalu rumit,26,26,"['sangat', 'buruk', 'akun', 'saya', 'terkena', 'hack', 'bagaimana', 'bisa', 'seharusnya', 'aplikasi', 'sebesar', 'ini', 'bisa', 'menangani', 'hal', 'hal', 'seperti', 'ini', 'belum', 'lagi', 'mengganti', 'password', 'yang', 'sulit', 'terlalu', 'rumit']","['buruk', 'akun', 'terkena', 'hack', 'aplikasi', 'menangani', 'mengganti', 'password', 'sulit', 'rumit']",26,10,16,buruk akun kena hack aplikasi tangan ganti password sulit rumit,10,10
"Sangat membantu untuk membuat konektifitas dengan kolega lainnya, serta mempermudah dalam mencari dan mendapatkan informasi pekerjaan.",positif,2021-07-07,2021,sangat membantu untuk membuat konektifitas dengan kolega lainnya serta mempermudah dalam mencari dan mendapatkan informasi pekerjaan,16,16,sangat membantu untuk membuat konektifitas dengan kolega lainnya serta mempermudah dalam mencari dan mendapatkan informasi pekerjaan,16,16,"['sangat', 'membantu', 'untuk', 'membuat', 'konektifitas', 'dengan', 'kolega', 'lainnya', 'serta', 'mempermudah', 'dalam', 'mencari', 'dan', 'mendapatkan', 'informasi', 'pekerjaan']","['membantu', 'konektifitas', 'kolega', 'mempermudah', 'mencari', 'informasi', 'pekerjaan']",16,7,9,bantu konektifitas kolega mudah cari informasi kerja,7,7
Aplikasi buat job seeker yang palinh fav karna UI/UX nya enak dipandang dan mudah untuk dipahami.,positif,2022-10-03,2022,aplikasi buat job seeker yang palinh fav karna ui ux nya enak dipandang dan mudah untuk dipahami,16,17,aplikasi buat kerja seeker yang palinh fav karena ui ux nya enak dipandang dan mudah untuk dipahami,17,17,"['aplikasi', 'buat', 'kerja', 'seeker', 'yang', 'palinh', 'fav', 'karena', 'ui', 'ux', 'nya', 'enak', 'dipandang', 'dan', 'mudah', 'untuk', 'dipahami']","['aplikasi', 'kerja', 'seeker', 'palinh', 'fav', 'ui', 'ux', 'nya', 'enak', 'dipandang', 'mudah', 'dipahami']",17,12,5,aplikasi kerja seeker palinh fav ui ux nya enak pandang mudah paham,12,12
"Tidak bisa masuk , sudah verifikasi mengunakan ktp dan sim dengan posisi foto yg benar , selalu muncul terjadi masalah silahkan coba lagi",negatif,2023-06-16,2023,tidak bisa masuk sudah verifikasi mengunakan ktp dan sim dengan posisi foto yg benar selalu muncul terjadi masalah silahkan coba lagi,23,21,tidak bisa masuk sudah verifikasi mengunakan ktp dan sim dengan posisi foto yang benar selalu muncul terjadi masalah silahkan coba lagi,21,21,"['tidak', 'bisa', 'masuk', 'sudah', 'verifikasi', 'mengunakan', 'ktp', 'dan', 'sim', 'dengan', 'posisi', 'foto', 'yang', 'benar', 'selalu', 'muncul', 'terjadi', 'masalah', 'silahkan', 'coba', 'lagi']","['tidak', 'masuk', 'verifikasi', 'mengunakan', 'ktp', 'sim', 'posisi', 'foto', 'muncul', 'silahkan', 'coba']",21,11,10,tidak masuk verifikasi mengunakan ktp sim posisi foto muncul silah coba,11,11
"Aplikasinya sangat bagus, membatu saya dalam mencari pekerjaan dan relasi profesional. Tingkatkan lagi layanannya!",positif,2022-07-16,2022,aplikasinya sangat bagus membatu saya dalam mencari pekerjaan dan relasi profesional tingkatkan lagi layanannya,14,14,aplikasi nya sangat bagus membantu saya dalam mencari pekerjaan dan relasi profesional tingkatkan lagi layanannya,14,15,"['aplikasi', 'nya', 'sangat', 'bagus', 'membantu', 'saya', 'dalam', 'mencari', 'pekerjaan', 'dan', 'relasi', 'profesional', 'tingkatkan', 'lagi', 'layanannya']","['aplikasi', 'nya', 'bagus', 'membantu', 'mencari', 'pekerjaan', 'relasi', 'profesional', 'tingkatkan', 'layanannya']",15,10,5,aplikasi nya bagus bantu cari kerja relasi profesional tingkat layan,10,10
"Apaaa sihhh, diverifikasi susah amat ya. Padahal disuruh pilih gambar yg menghadap ke atas tapi tetep salah. Gatau lagi dahhh kecewa",negatif,2021-10-11,2021,apaaa sihhh diverifikasi susah amat ya padahal disuruh pilih gambar yg menghadap ke atas tapi tetep salah gatau lagi dahhh kecewa,21,21,apaaa sihhh diverifikasi susah amat ya padahal disuruh pilih gambar yang menghadap ke atas tapi tetap salah tidak tahu lagi dahhh kecewa,21,22,"['apaaa', 'sihhh', 'diverifikasi', 'susah', 'amat', 'ya', 'padahal', 'disuruh', 'pilih', 'gambar', 'yang', 'menghadap', 'ke', 'atas', 'tapi', 'tetap', 'salah', 'tidak', 'tahu', 'lagi', 'dahhh', 'kecewa']","['apaaa', 'sihhh', 'diverifikasi', 'susah', 'ya', 'disuruh', 'pilih', 'gambar', 'menghadap', 'salah', 'tidak', 'dahhh', 'kecewa']",22,13,9,apaaa sihhh verifikasi susah ya suruh pilih gambar hadap salah tidak dahhh kecewa,13,13
"aplikasi tidak profesional, tiba2 akun saya dinonaktifkan tanpa pemberitahuan, padahal data real dan akurat dan tak pernah melangar sama sekali",negatif,2021-08-19,2021,aplikasi tidak profesional tiba akun saya dinonaktifkan tanpa pemberitahuan padahal data real dan akurat dan tak pernah melangar sama sekali,20,20,aplikasi tidak profesional tiba akun saya dinonaktifkan tanpa pemberitahuan padahal data real dan akurat dan tidak pernah melangar sama sekali,20,20,"['aplikasi', 'tidak', 'profesional', 'tiba', 'akun', 'saya', 'dinonaktifkan', 'tanpa', 'pemberitahuan', 'padahal', 'data', 'real', 'dan', 'akurat', 'dan', 'tidak', 'pernah', 'melangar', 'sama', 'sekali']","['aplikasi', 'tidak', 'profesional', 'akun', 'dinonaktifkan', 'pemberitahuan', 'data', 'real', 'akurat', 'tidak', 'melangar']",20,11,9,aplikasi tidak profesional akun nonaktif pemberitahuan data real akurat tidak melangar,11,11
"linkedin bego, ga gunaa, masa profil dasboard dah di perbarui beberapa bulan lalu dg perusahan yg baru, tpi waktu di search di browser yg muncul masi pekerjaan lama di laman depan browser -,-",negatif,2021-12-23,2021,linkedin bego ga gunaa masa profil dasboard dah di perbarui beberapa bulan lalu dg perusahan yg baru tpi waktu di search di browser yg muncul masi pekerjaan lama di laman depan browser,33,32,linkedin bodoh tidak gunaa masa profil dasboard sudah di perbarui beberapa bulan lalu dengan perusahan yang baru tetapi waktu di search di browser yang muncul masih pekerjaan lama di laman depan browser,32,32,"['linkedin', 'bodoh', 'tidak', 'gunaa', 'masa', 'profil', 'dasboard', 'sudah', 'di', 'perbarui', 'beberapa', 'bulan', 'lalu', 'dengan', 'perusahan', 'yang', 'baru', 'tetapi', 'waktu', 'di', 'search', 'di', 'browser', 'yang', 'muncul', 'masih', 'pekerjaan', 'lama', 'di', 'laman', 'depan', 'browser']","['linkedin', 'bodoh', 'tidak', 'gunaa', 'profil', 'dasboard', 'perbarui', 'perusahan', 'search', 'browser', 'muncul', 'pekerjaan', 'laman', 'browser']",32,14,18,linkedin bodoh tidak gunaa profil dasboard baru usah search browser muncul kerja laman browser,14,14
"Tidak bisa masuk, pas waktu mengisi kode chapta padahal sudah diisi malahan gak bisa masuk dan ata tulisan rechaptca belum diisi. Aplikasi terburuk yg pernah ada",negatif,2023-08-08,2023,tidak bisa masuk pas waktu mengisi kode chapta padahal sudah diisi malahan gak bisa masuk dan ata tulisan rechaptca belum diisi aplikasi terburuk yg pernah ada,26,26,tidak bisa masuk pas waktu mengisi kode chapta padahal sudah diisi malahan tidak bisa masuk dan ata tulisan rechaptca belum diisi aplikasi terburuk yang pernah ada,26,26,"['tidak', 'bisa', 'masuk', 'pas', 'waktu', 'mengisi', 'kode', 'chapta', 'padahal', 'sudah', 'diisi', 'malahan', 'tidak', 'bisa', 'masuk', 'dan', 'ata', 'tulisan', 'rechaptca', 'belum', 'diisi', 'aplikasi', 'terburuk', 'yang', 'pernah', 'ada']","['tidak', 'masuk', 'pas', 'mengisi', 'kode', 'chapta', 'diisi', 'tidak', 'masuk', 'ata', 'tulisan', 'rechaptca', 'diisi', 'aplikasi', 'terburuk']",26,15,11,tidak masuk pas isi kode chapta isi tidak masuk ata tulis rechaptca isi aplikasi buruk,15,15
Verifikasinya nyusahin. Udah di-klik gambar yang benar muncul notif kode noCaptha Anda tidak Valid atau belum diisi. Dicoba login dengan tebak angka sama aja di alihin ke tebak gambar.,negatif,2023-05-11,2023,verifikasinya nyusahin udah di klik gambar yang benar muncul notif kode nocaptha anda tidak valid atau belum diisi dicoba login dengan tebak angka sama aja di alihin ke tebak gambar,29,30,verifikasinya nyusahin sudah di klik gambar yang benar muncul notif kode nocaptha anda tidak valid atau belum diisi dicoba login dengan tebak angka sama saja di alihin ke tebak gambar,30,30,"['verifikasinya', 'nyusahin', 'sudah', 'di', 'klik', 'gambar', 'yang', 'benar', 'muncul', 'notif', 'kode', 'nocaptha', 'anda', 'tidak', 'valid', 'atau', 'belum', 'diisi', 'dicoba', 'login', 'dengan', 'tebak', 'angka', 'sama', 'saja', 'di', 'alihin', 'ke', 'tebak', 'gambar']","['verifikasinya', 'nyusahin', 'klik', 'gambar', 'muncul', 'notif', 'kode', 'nocaptha', 'tidak', 'valid', 'diisi', 'dicoba', 'login', 'tebak', 'angka', 'alihin', 'tebak', 'gambar']",30,18,12,verifikasi nyusahin klik gambar muncul notif kode nocaptha tidak valid isi coba login tebak angka alihin tebak gambar,18,18
"Cuma beberapa hari ga buka aplikasi, tiba tiba logout otomatis dan saat mencoba login akun sudah dibatasi.",negatif,2023-10-29,2023,cuma beberapa hari ga buka aplikasi tiba tiba logout otomatis dan saat mencoba login akun sudah dibatasi,17,17,cuma beberapa hari tidak buka aplikasi tiba tiba logout otomatis dan saat mencoba login akun sudah dibatasi,17,17,"['cuma', 'beberapa', 'hari', 'tidak', 'buka', 'aplikasi', 'tiba', 'tiba', 'logout', 'otomatis', 'dan', 'saat', 'mencoba', 'login', 'akun', 'sudah', 'dibatasi']","['tidak', 'buka', 'aplikasi', 'logout', 'otomatis', 'mencoba', 'login', 'akun', 'dibatasi']",17,9,8,tidak buka aplikasi logout otomatis coba login akun batas,9,9
"Sangat membantu bagi yang sedang mencari pekerjaan, kontrak mau berakhir dan yang ingin suasana baru dalam pekerjaan. Berbagai bidang pekerjaan, lokasi dalam negeri maupun luar negeri tersedia di sini.",positif,2020-09-07,2020,sangat membantu bagi yang sedang mencari pekerjaan kontrak mau berakhir dan yang ingin suasana baru dalam pekerjaan berbagai bidang pekerjaan lokasi dalam negeri maupun luar negeri tersedia di sini,29,29,sangat membantu bagi yang sedang mencari pekerjaan kontrak mau berakhir dan yang ingin suasana baru dalam pekerjaan berbagai bidang pekerjaan lokasi dalam negeri maupun luar negeri tersedia di sini,29,29,"['sangat', 'membantu', 'bagi', 'yang', 'sedang', 'mencari', 'pekerjaan', 'kontrak', 'mau', 'berakhir', 'dan', 'yang', 'ingin', 'suasana', 'baru', 'dalam', 'pekerjaan', 'berbagai', 'bidang', 'pekerjaan', 'lokasi', 'dalam', 'negeri', 'maupun', 'luar', 'negeri', 'tersedia', 'di', 'sini']","['membantu', 'mencari', 'pekerjaan', 'kontrak', 'suasana', 'pekerjaan', 'bidang', 'pekerjaan', 'lokasi', 'negeri', 'negeri', 'tersedia']",29,12,17,bantu cari kerja kontrak suasana kerja bidang kerja lokasi negeri negeri sedia,12,12
"Bad! mau login/regist susah banget. verifikasi captcha tidak jelas, verifikasi pertama sudah berhasil tiba-tiba disuruh verifikasi lagi dan berulang! SANGAT TIDAK JELAZZZZ",negatif,2023-10-16,2023,bad mau login regist susah banget verifikasi captcha tidak jelas verifikasi pertama sudah berhasil tiba tiba disuruh verifikasi lagi dan berulang sangat tidak jelazzzz,22,24,bad mau login regist susah banget verifikasi captcha tidak jelas verifikasi pertama sudah berhasil tiba tiba disuruh verifikasi lagi dan berulang sangat tidak jelazzzz,24,24,"['bad', 'mau', 'login', 'regist', 'susah', 'banget', 'verifikasi', 'captcha', 'tidak', 'jelas', 'verifikasi', 'pertama', 'sudah', 'berhasil', 'tiba', 'tiba', 'disuruh', 'verifikasi', 'lagi', 'dan', 'berulang', 'sangat', 'tidak', 'jelazzzz']","['bad', 'login', 'regist', 'susah', 'banget', 'verifikasi', 'captcha', 'tidak', 'verifikasi', 'berhasil', 'disuruh', 'verifikasi', 'berulang', 'tidak', 'jelazzzz']",24,15,9,bad login regist susah banget verifikasi captcha tidak verifikasi hasil suruh verifikasi ulang tidak jelazzzz,15,15
"Saya sangat senang dengan aplikasi linkedin, banyak kenalan baru dan bertemu teman teman lama dengan berbagai profesi dan karir..,dan ini saran aja..kalau bisa..jika ada postingan masalah politik dll..diluar fungsi linkedin...,jangan di posting...terima kasih...",positif,2022-10-01,2022,saya sangat senang dengan aplikasi linkedin banyak kenalan baru dan bertemu teman teman lama dengan berbagai profesi dan karir dan ini saran aja kalau bisa jika ada postingan masalah politik dll diluar fungsi linkedin jangan di posting terima kasih,33,39,saya sangat senang dengan aplikasi linkedin banyak kenalan baru dan bertemu teman teman lama dengan berbagai profesi dan karir dan ini saran saja kalau bisa jika ada postingan masalah politik dan lain lain diluar fungsi linkedin jangan di posting terima kasih,39,41,"['saya', 'sangat', 'senang', 'dengan', 'aplikasi', 'linkedin', 'banyak', 'kenalan', 'baru', 'dan', 'bertemu', 'teman', 'teman', 'lama', 'dengan', 'berbagai', 'profesi', 'dan', 'karir', 'dan', 'ini', 'saran', 'saja', 'kalau', 'bisa', 'jika', 'ada', 'postingan', 'masalah', 'politik', 'dan', 'lain', 'lain', 'diluar', 'fungsi', 'linkedin', 'jangan', 'di', 'posting', 'terima', 'kasih']","['senang', 'aplikasi', 'linkedin', 'kenalan', 'bertemu', 'teman', 'teman', 'profesi', 'karir', 'saran', 'postingan', 'politik', 'diluar', 'fungsi', 'linkedin', 'posting', 'terima', 'kasih']",41,18,23,senang aplikasi linkedin kenal temu teman teman profesi karir saran postingan politik luar fungsi linkedin posting terima kasih,18,18
"Sya pengguna aplikasi Linkedln,sangat bermanfaat sekali utk menunjang wawasan berbagai macam disiplin ilmu utk pencapain dunia usaha budaya dri berbagai macam latar belakang,semoga Linkedln semakin sukses.",positif,2020-10-24,2020,sya pengguna aplikasi linkedln sangat bermanfaat sekali utk menunjang wawasan berbagai macam disiplin ilmu utk pencapain dunia usaha budaya dri berbagai macam latar belakang semoga linkedln semakin sukses,26,28,saya pengguna aplikasi linkedln sangat bermanfaat sekali untuk menunjang wawasan berbagai macam disiplin ilmu untuk pencapain dunia usaha budaya dari berbagai macam latar belakang semoga linkedln semakin sukses,28,28,"['saya', 'pengguna', 'aplikasi', 'linkedln', 'sangat', 'bermanfaat', 'sekali', 'untuk', 'menunjang', 'wawasan', 'berbagai', 'macam', 'disiplin', 'ilmu', 'untuk', 'pencapain', 'dunia', 'usaha', 'budaya', 'dari', 'berbagai', 'macam', 'latar', 'belakang', 'semoga', 'linkedln', 'semakin', 'sukses']","['pengguna', 'aplikasi', 'linkedln', 'bermanfaat', 'menunjang', 'wawasan', 'disiplin', 'ilmu', 'pencapain', 'dunia', 'usaha', 'budaya', 'latar', 'semoga', 'linkedln', 'sukses']",28,16,12,guna aplikasi linkedln manfaat tunjang wawas disiplin ilmu pencapain dunia usaha budaya latar moga linkedln sukses,16,16
"Membuat akun baru sulit sekali. Mau minta kode verifikasi saja sulitnya minta ampun, sampai"" satu nomor saya di blokir, tidak bisa dipakai untuk dapat kode lagi. Ampuunnn dahh.",negatif,2023-12-13,2023,membuat akun baru sulit sekali mau minta kode verifikasi saja sulitnya minta ampun sampai satu nomor saya di blokir tidak bisa dipakai untuk dapat kode lagi ampuunnn dahh,28,28,membuat akun baru sulit sekali mau minta kode verifikasi saja sulitnya minta ampun sampai satu nomor saya di blokir tidak bisa dipakai untuk dapat kode lagi ampuunnn deh,28,28,"['membuat', 'akun', 'baru', 'sulit', 'sekali', 'mau', 'minta', 'kode', 'verifikasi', 'saja', 'sulitnya', 'minta', 'ampun', 'sampai', 'satu', 'nomor', 'saya', 'di', 'blokir', 'tidak', 'bisa', 'dipakai', 'untuk', 'dapat', 'kode', 'lagi', 'ampuunnn', 'deh']","['akun', 'sulit', 'kode', 'verifikasi', 'sulitnya', 'ampun', 'nomor', 'blokir', 'tidak', 'dipakai', 'kode', 'ampuunnn', 'deh']",28,13,15,akun sulit kode verifikasi sulit ampun nomor blokir tidak pakai kode ampuunnn deh,13,13
"Bagi yang mau mendaftar, jangan terkecoh dengan soalnya, pilih aja gambar yg normal posisinya. Nanti jg selesai... ''ini informasi yang mungkin berguna buat kalian''",negatif,2021-12-21,2021,bagi yang mau mendaftar jangan terkecoh dengan soalnya pilih aja gambar yg normal posisinya nanti jg selesai ini informasi yang mungkin berguna buat kalian,24,24,bagi yang mau mendaftar jangan terkecoh dengan soalnya pilih saja gambar yang normal posisinya nanti juga selesai ini informasi yang mungkin berguna buat kalian,24,24,"['bagi', 'yang', 'mau', 'mendaftar', 'jangan', 'terkecoh', 'dengan', 'soalnya', 'pilih', 'saja', 'gambar', 'yang', 'normal', 'posisinya', 'nanti', 'juga', 'selesai', 'ini', 'informasi', 'yang', 'mungkin', 'berguna', 'buat', 'kalian']","['mendaftar', 'terkecoh', 'pilih', 'gambar', 'normal', 'posisinya', 'selesai', 'informasi', 'berguna']",24,9,15,daftar kecoh pilih gambar normal posisi selesai informasi guna,9,9
